headline
"Infosys Standalone December 2025 Net Sales at Rs 37,996.00 crore, up 8.82% Y-o-Y"
Buy Infosys; target of Rs 1900: Prabhudas Lilladher
"Infosys Consolidated December 2025 Net Sales at Rs 45,479.00 crore, up 8.9% Y-o-Y"
Buy Infosys; target of Rs 1884: Anand Rathi
"New labour codes cost TCS, Infosys, HCLTech over Rs 4,000 crore in Q3"
Infosys caps WFO exemption at five days a quarter after Wipro & TCS tighten WFH norms
Infosys Q3 results: IT firm's ADR jumps 10.2% as it raises FY26 revenue growth forecast
Buy Infosys; target of Rs 1750: Emkay Global Financial
Hold Infosys: target of Rs 1630: ICICI Securities
Why Infosys wants to know how much power employees use at home
Infosys Listing Information
Buy Infosys; target of Rs 2200: Motilal Oswal
Infosys And Cursor Announce Strategic Collaboration To Accelerate Software Engineering For Global Enterprises
Infosys Q3 FY26 – time to reverse the underperformance
"‘No Infosys employee was apprehended by any US authority,' clarifies CEO Salil Parekh on employee being deported"
Infosys raises FY26 revenue growth guidance to 3–3.5%
View all Infosys Share News & Announcements
"Infosys takes Rs 1,289-crore hit from new labour codes"
"Infosys Q3FY26 Results: IT Major Announces Dec Quarter Earnings | Net profit falls 2%, Revenue up 9%"
Stock Radar: Infosys stock gives a breakout above 6-month long consolidation zone; time to buy for medium-term?
Infosys Company Management
"Infosys added 5,043 employees in Q3, headcount grows to 337,034"
Infosys Background information
"Infosys Q3 net profit falls 2.2% on-year, misses estimate; revenue guidance raised, deal wins steady"
"Davos 2026: Infosys to hire 20,000 graduates in FY27 as CEO Parekh flags AI-led growth opportunities"
"Infosys counts over 500 AI agents, sees AI work across 90% of top 200 clients"
"Stocks to Watch Today: Infosys, ICICI Prudential AMC, HDB Financial, Zydus Life, Shriram Finance, Zaggle Prepaid, Transrail Lighting in focus on 16 January"
